GEOID,NAME,variable,estimate,moe,Zip Code
72082,ZCTA5 72082,B07004H_006,0,11,72082
72083,ZCTA5 72083,B07004H_006,0,11,72083
72084,ZCTA5 72084,B07004H_006,0,11,72084
72085,ZCTA5 72085,B07004H_006,0,11,72085
72086,ZCTA5 72086,B07004H_006,12,19,72086
72087,ZCTA5 72087,B07004H_006,0,11,72087
72088,ZCTA5 72088,B07004H_006,0,11,72088
72099,ZCTA5 72099,B07004H_006,0,11,72099
72101,ZCTA5 72101,B07004H_006,11,11,72101
72102,ZCTA5 72102,B07004H_006,0,11,72102
72103,ZCTA5 72103,B07004H_006,0,18,72103
72104,ZCTA5 72104,B07004H_006,0,21,72104
72106,ZCTA5 72106,B07004H_006,15,23,72106
72107,ZCTA5 72107,B07004H_006,0,11,72107
72108,ZCTA5 72108,B07004H_006,0,11,72108
72110,ZCTA5 72110,B07004H_006,10,14,72110
72111,ZCTA5 72111,B07004H_006,0,11,72111
72112,ZCTA5 72112,B07004H_006,20,22,72112
72113,ZCTA5 72113,B07004H_006,97,98,72113
72114,ZCTA5 72114,B07004H_006,0,18,72114
72116,ZCTA5 72116,B07004H_006,26,31,72116
72117,ZCTA5 72117,B07004H_006,0,18,72117
72118,ZCTA5 72118,B07004H_006,36,64,72118
72119,ZCTA5 72119,B07004H_006,0,11,72119
72120,ZCTA5 72120,B07004H_006,27,22,72120
72121,ZCTA5 72121,B07004H_006,0,11,72121
72122,ZCTA5 72122,B07004H_006,0,11,72122
72123,ZCTA5 72123,B07004H_006,0,11,72123
72125,ZCTA5 72125,B07004H_006,1,2,72125
72126,ZCTA5 72126,B07004H_006,0,11,72126
72127,ZCTA5 72127,B07004H_006,0,11,72127
72128,ZCTA5 72128,B07004H_006,0,11,72128
72129,ZCTA5 72129,B07004H_006,0,11,72129
72130,ZCTA5 72130,B07004H_006,0,11,72130
72131,ZCTA5 72131,B07004H_006,6,7,72131
72132,ZCTA5 72132,B07004H_006,0,11,72132
72134,ZCTA5 72134,B07004H_006,0,11,72134
72135,ZCTA5 72135,B07004H_006,0,11,72135
72136,ZCTA5 72136,B07004H_006,0,11,72136
72137,ZCTA5 72137,B07004H_006,0,11,72137
