"GEOID";"NAME";"variable";"estimate";"moe";"geometry"
"06037103101";"Census Tract 1031.01, Los Angeles County, California";"B12001_013";664;84;list(list(c(-118.316396, -118.316408, -118.317144, -118.311675, -118.306337, -118.305908, -118.29697, -118.299749, -118.299696, -118.303195, -118.302753, -118.297917, -118.302671, -118.307036, -118.3114, -118.313995, -118.315727, -118.315734, -118.314792, -118.315025, -118.31731, -118.316396, 34.275219, 34.27763, 34.278777, 34.278729, 34.282013, 34.278783, 34.278807, 34.276706, 34.275262, 34.273334, 34.272001, 34.266849, 34.266931, 34.266945, 34.266961, 34.266967, 34.266971, 34.270526, 34.273804, 34.274199, 34.273632, 34.275219)))
"06037103102";"Census Tract 1031.02, Los Angeles County, California";"B12001_013";1010;140;list(list(c(-118.315727, -118.313995, -118.3114, -118.307036, -118.302671, -118.297917, -118.297919, -118.300758, -118.300753, -118.302291, -118.302688, -118.303178, -118.307038, -118.311378, -118.315743, -118.315727, 34.266971, 34.266967, 34.266961, 34.266945, 34.266931, 34.266849, 34.263222, 34.263214, 34.259609, 34.258697, 34.259077, 34.259449, 34.259643, 34.259671, 34.259693, 34.266971)))
"06037103200";"Census Tract 1032, Los Angeles County, California";"B12001_013";1108;192;list(list(c(-118.372959, -118.372548, -118.37094, -118.370754, -118.370621, -118.369402, -118.36723, -118.364855, -118.362688, -118.360345, -118.360345, -118.351734, -118.348153, -118.319509, -118.317144, -118.316408, -118.316396, -118.31731, -118.315025, -118.314792, -118.315734, -118.315727, -118.315743, -118.322312, -118.328729, -118.329998, -118.335804, -118.339451, -118.342795, -118.345081, -118.353009, -118.356176, -118.358346, -118.359027, -118.359293, -118.360291, -118.361509, -118.361447, -118.373013, -118.372959, 34.274524, 34.276411, 34.27872, 34.282117, 34.282487, 34.285988, 34.286318, 34.289436, 34.287843, 34.287647, 34.280435, 34.279435, 34.279018, 34.278832, 34.278777, 34.27763, 34.275219, 34.273632, 34.274199, 34.273804, 34.270526, 34.266971, 34.259693, 34.259742, 34.259726, 34.259677, 34.265779, 34.269021, 34.27053, 34.271073, 34.272094, 34.272515, 34.271569, 34.271292, 34.271466, 34.271385, 34.272238, 34.273177, 34.273902, 34.274524)))
"06037103300";"Census Tract 1033, Los Angeles County, California";"B12001_013";874;106;list(list(c(-118.373179, -118.371198, -118.369284, -118.365479, -118.364179, -118.354206, -118.354051, -118.35007, -118.347323, -118.343224, -118.335804, -118.329998, -118.33319, -118.338209, -118.339444, -118.341007, -118.347838, -118.351326, -118.357469, -118.359445, -118.36092, -118.366452, -118.366638, -118.368785, -118.369463, -118.370655, -118.372622, -118.375557, -118.373179, 34.2581, 34.260326, 34.262832, 34.265971, 34.266174, 34.265928, 34.266725, 34.265955, 34.267857, 34.267798, 34.265779, 34.259677, 34.259487, 34.260316, 34.26024, 34.259285, 34.248479, 34.247332, 34.247053, 34.247116, 34.246764, 34.243021, 34.244287, 34.246265, 34.24938, 34.250859, 34.253765, 34.256787, 34.2581)))
"06037103400";"Census Tract 1034, Los Angeles County, California";"B12001_013";1544;239;list(list(c(-118.328729, -118.322312, -118.315743, -118.311378, -118.307038, -118.303178, -118.302688, -118.302291, -118.299451, -118.300254, -118.300253, -118.302632, -118.305772, -118.307037, -118.30796, -118.306236, -118.307074, -118.312384, -118.316711, -118.322382, -118.323808, -118.329998, -118.328729, 34.259726, 34.259742, 34.259693, 34.259671, 34.259643, 34.259449, 34.259077, 34.258697, 34.255978, 34.255983, 34.252869, 34.252388, 34.252082, 34.2524, 34.252408, 34.251114, 34.248124, 34.248867, 34.248602, 34.249631, 34.253081, 34.259677, 34.259726)))
"06037104103";"Census Tract 1041.03, Los Angeles County, California";"B12001_013";746;119;list(list(c(-118.400849, -118.395211, -118.392681, -118.388407, -118.386127, -118.382932, -118.385675, -118.392071, -118.396108, -118.397578, -118.397604, -118.398416, -118.400849, 34.281586, 34.285597, 34.286378, 34.285375, 34.28484, 34.28409, 34.282091, 34.277431, 34.277965, 34.278668, 34.278684, 34.279291, 34.281586)))
"06037104105";"Census Tract 1041.05, Los Angeles County, California";"B12001_013";1156;158;list(list(c(-118.411686, -118.405117, -118.401833, -118.400849, -118.398416, -118.397604, -118.398681, -118.401965, -118.403279, -118.408532, -118.411686, 34.273686, 34.278475, 34.280869, 34.281586, 34.279291, 34.278684, 34.27789, 34.275495, 34.274537, 34.270706, 34.273686)))
"06037104108";"Census Tract 1041.08, Los Angeles County, California";"B12001_013";874;131;list(list(c(-118.403279, -118.401965, -118.398681, -118.397604, -118.397578, -118.396108, -118.392071, -118.389114, -118.386696, -118.388994, -118.393794, -118.396886, -118.397704, -118.400407, -118.401136, -118.401912, -118.408532, -118.403279, 34.274537, 34.275495, 34.27789, 34.278684, 34.278668, 34.277965, 34.277431, 34.276993, 34.27607, 34.273193, 34.273536, 34.272558, 34.273323, 34.271354, 34.266589, 34.264658, 34.270706, 34.274537)))
"06037104124";"Census Tract 1041.24, Los Angeles County, California";"B12001_013";766;121;list(list(c(-118.392071, -118.385675, -118.382932, -118.386127, -118.385762, -118.384619, -118.386916, -118.386859, -118.382372, -118.382938, -118.381327, -118.379098, -118.378697, -118.375594, -118.371617, -118.37029, -118.367773, -118.367088, -118.365435, -118.362734, -118.362617, -118.360976, -118.361748, -118.361563, -118.360497, -118.360345, -118.362688, -118.364855, -118.36723, -118.369402, -118.370621, -118.370754, -118.37094, -118.372548, -118.372959, -118.373013, -118.379386, -118.389114, -118.392071, 34.277431, 34.282091, 34.28409, 34.28484, 34.284817, 34.289731, 34.289734, 34.291532, 34.291526, 34.293965, 34.294833, 34.29462, 34.296111, 34.29612, 34.298189, 34.298042, 34.300059, 34.301859, 34.300614, 34.300074, 34.298981, 34.297731, 34.296518, 34.292775, 34.293321, 34.287647, 34.287843, 34.289436, 34.286318, 34.285988, 34.282487, 34.282117, 34.27872, 34.276411, 34.274524, 34.273902, 34.274571, 34.276993, 34.277431)))
"06037104201";"Census Tract 1042.01, Los Angeles County, California";"B12001_013";755;122;list(list(c(-118.420729, -118.417448, -118.418632, -118.415792, -118.408143, -118.411424, -118.414706, -118.417991, -118.418623, -118.424018, -118.420729, 34.287727, 34.290119, 34.291764, 34.293841, 34.286821, 34.28443, 34.282037, 34.279642, 34.280239, 34.285327, 34.287727)))
