Item,Number of consumer units (in thousands),,Consumer unit characteristics:,,Income before taxes,,Age of reference person,,Average number in consumer unit:,People,Children under 18,Adults 65 and older,Earners,Vehicles,,Percent homeowner,,Average annual expenditures,,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,,Alcoholic beverages,,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,,Apparel and services,,Transportation,Vehicle purchases (net outlay),Gasoline and motor oil,Other vehicle expenses,Public and other transportation,,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"All consumer
units in the
West",28213,,,,68459,,49,,,2.6,0.7,0.3,1.3,1.9,,57,,56298,,7178,4215,525,875,447,854,1514,2963,,530,,19525,12196,6520,4951,724,3567,1303,684,1776,,1850,,9180,3091,2572,2831,686,,3977,2981,710,118,1204,249,791,2011,,5994,304,5690
Los Angeles,6590,,,,69118,,48,,,2.8,0.7,0.3,1.4,1.6,,50,,55546,,7278,4196,507,957,425,901,1406,3083,,478,,21501,14293,7043,6625,625,3450,1503,642,1613,,1920,,8315,1964,2819,2934,599,,3178,2427,781,79,1601,163,608,1291,,5926,197,5728
"San
Francisco",3006,,,,92780,,49.8,,,2.5,0.5,0.3,1.4,1.8,,50,,68765,,8152,4215,538,907,434,962,1374,3937,,721,,25663,17967,8687,8417,862,3553,1687,721,1734,,2227,,9404,2475,2379,3347,1203,,4459,3329,850,161,1900,187,813,2460,,8438,358,8080
San Diego,1162,,,,77805,,50,,,2.5,0.6,0.3,1.3,1.9,,56,,63189,,6936,3880,423,760,425,792,1481,3056,,681,,23774,15880,8503,6529,848,3352,1690,714,2138,,1977,,10319,3099,2945,3407,869,,4395,2894,744,162,1068,232,1091,1752,,7162,350,6812
Seattle,1831,,,,87176,,49.3,,,2.8,0.7,0.3,1.6,2.2,,61,,64933,,7958,4512,586,915,449,1009,1553,3446,,655,,22728,13862,7866,4928,1068,4172,1852,951,1891,,2291,,9967,3037,2638,3154,1138,,4042,3687,815,179,1631,281,1235,1996,,7468,483,6986
Phoenix,1509,,,,57111,,47.5,,,2.6,0.8,0.3,1.2,1.6,,56,,51269,,7137,4351,523,928,494,793,1614,2786,,549,,17543,10218,5252,4190,776,4160,1198,682,1286,,1692,,9930,3986,2502,3106,336,,3609,2804,693,63,887,215,395,1171,,4578,347,4231
