Item,Number of consumer units (in thousands),,Consumer unit characteristics:,,Income before taxes,,Age of reference person,,Average number in consumer unit:,People,Children under 18,Adults 65 and older,Earners,Vehicles,,Percent homeowner,,Average annual expenditures,,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,,Alcoholic beverages,,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,,Apparel and services,,Transportation,Vehicle purchases (net outlay),Gasoline and motor oil,Other vehicle expenses,Public and other transportation,,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"All consumer
units in the
West",28308,,,,73496,,49.3,,,2.6,0.7,0.3,1.4,2,,56,,59217,,7473,4275,526,901,446,858,1543,3199,,580,,20227,12685,6650,5298,738,3597,1430,647,1868,,2119,,9397,3227,2415,2981,773,,4321,3098,751,136,1237,238,1023,1985,,6633,333,6300
Los Angeles,6594,,,,72360,,48.8,,,2.8,0.7,0.3,1.5,1.6,,49,,58388,,7235,4014,475,966,390,866,1317,3221,,472,,21854,14716,6981,7081,654,3508,1558,579,1494,,2686,,8827,2434,2651,3209,534,,3615,2423,729,101,1586,152,986,1276,,6445,218,6227
"San
Francisco",2336,,,,101998,,49.9,,,2.6,0.6,0.3,1.4,1.8,,50,,71433,,8612,4114,489,945,427,955,1298,4498,,1005,,26483,18724,8947,8743,1034,3493,2171,581,1514,,2366,,9911,2677,2219,3411,1603,,4685,3318,845,147,1806,133,780,2262,,9079,419,8661
San Diego,1163,,,,86001,,48.8,,,2.5,0.6,0.3,1.3,1.9,,58,,71039,,7440,4078,420,819,449,818,1572,3362,,717,,25464,17030,9313,6678,1039,3603,1828,799,2204,,2130,,11020,3358,2902,3789,971,,4732,3740,966,184,1622,165,1747,1843,,9270,1351,7919
Seattle,1732,,,,88351,,49,,,2.3,0.5,0.3,1.4,2.1,,58,,69017,,8929,5301,610,975,489,1049,2179,3627,,759,,23768,14913,8326,5656,931,3690,1885,768,2512,,2405,,9767,2835,2230,3415,1287,,4635,3673,888,184,1750,221,1957,2119,,7961,339,7622
Phoenix,1591,,,,72130,,47.6,,,2.6,0.7,0.3,1.4,1.7,,58,,55118,,7167,4370,552,918,444,799,1656,2798,,611,,18328,10908,5963,4057,889,4217,1250,519,1434,,1848,,8981,3290,2352,2676,663,,4474,2756,712,116,1546,278,468,1414,,6418,253,6164
