Item,Number of consumer units (in thousands),,Consumer unit characteristics:,,Income before taxes,,Age of reference person,,Average number in consumer unit:,People,Children under 18,Adults 65 and older,Earners,Vehicles,,Percent homeowner,,Average annual expenditures,,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,,Alcoholic beverages,,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,,Apparel and services,,Transportation,Vehicle purchases (net outlay),Gasoline and motor oil,Other vehicle expenses,Public and other transportation,,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"All consumer
units in the
West",28326,,,,82775,,49.4,,,2.7,0.7,0.3,1.4,2,,57,,63045,,7978,4447,556,940,458,890,1603,3531,,602,,21334,13321,6893,5622,805,3714,1523,663,2113,,2161,,9747,3574,2205,3113,855,,4523,3260,811,156,1376,242,1179,2173,,7504,323,7181
Los Angeles,6321,,,,76721,,49.4,,,2.8,0.7,0.3,1.5,1.7,,49,,64321,,7984,4225,515,1022,415,919,1353,3760,,512,,23265,15580,7217,7701,662,3672,1643,599,1771,,2858,,10038,3388,2607,3370,672,,3832,2664,823,124,1559,151,1440,1381,,7689,251,7438
"San
Francisco",1635,,,,118098,,49,,,2.4,0.5,0.3,1.4,1.8,,51,,75380,,8644,4033,497,912,406,925,1293,4611,,1135,,30355,21626,10857,9559,1210,3688,2775,445,1821,,2108,,8957,2333,1961,2824,1838,,4857,3136,842,198,1833,85,738,2497,,9996,329,9667
San Diego,1237,,,,93466,,48.7,,,2.5,0.6,0.3,1.4,2.1,,57,,77299,,8834,4761,529,1002,486,877,1867,4074,,848,,27103,17537,9781,6799,956,3783,1919,727,3136,,2501,,10552,3131,2652,3745,1025,,4820,4475,1137,213,2732,157,1785,2104,,10037,1355,8682
Seattle,1596,,,,104475,,48.9,,,2.3,0.5,0.3,1.4,2,,60,,74723,,10178,5938,623,1118,525,1223,2449,4240,,713,,24993,15762,8732,6028,1001,3722,1826,760,2923,,3176,,9997,3693,1917,3144,1244,,4877,3981,878,190,2016,245,1746,2753,,8979,321,8658
Phoenix,1622,,,,79380,,48,,,2.5,0.7,0.3,1.4,1.8,,61,,59873,,7269,4295,557,951,406,764,1617,2974,,616,,19262,11138,6180,4045,913,4076,1607,571,1868,,1805,,9017,3181,2026,2839,972,,4643,3090,775,150,1473,284,646,1597,,9246,195,9051
Denver,1416,,,,105447,,47.4,,,2.5,0.6,0.3,1.4,2,,65,,69742,,7868,4262,570,824,413,885,1569,3606,,637,,22949,14638,8277,5086,1276,3833,1627,610,2241,,1994,,11483,5072,1905,3202,1304,,5668,3760,969,162,1034,350,1316,3530,,8022,279,7743
Honolulu,499,,,,89019,,52.4,,,2.8,0.6,0.5,1.4,1.7,,52,,66798,,10303,5419,599,1299,438,1099,1985,4885,,518,,24241,16359,6714,8833,811,4047,1240,715,1880,,1726,,9486,3727,1924,2414,1421,,3576,2997,746,138,1909,146,623,3338,,7052,298,6754
Anchorage,210,,,,104465,,46.3,,,2.7,0.7,0.2,1.5,2.6,,60,,73305,,8617,4973,542,1036,470,1121,1804,3644,,712,,23239,14213,7559,5588,1066,4542,1637,599,2248,,1511,,13978,6695,2504,2954,1824,,4325,4313,791,151,1611,422,1406,2020,,10208,369,9839
